### http://myforecast.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 20 | 0 | 0 | 0 | 0 |
| 92 | 0 | 0 | 0 | 0 |
| 100 | 0 | 0 | 0 | 0 |
| 147 | 0 | 0 | 0 | 0 |
| 182 | 0 | 0 | 0 | 0 |
| 229 | 0 | 0 | 0 | 0 |
| 249 | 0 | 0 | 0 | 0 |
| 260 | 0 | 0 | 0 | 0 |
| 266 | 0 | 0 | 0 | 0 |
| 313 | 0 | 0 | 0 | 0 |
| 352 | 0 | 0 | 0 | 0 |
| 477 | 0 | 0 | 0 | 0 |
| 580 | 0 | 0 | 0 | 0 |
| 598 | 0 | 0 | 0 | 0 |
| 602 | 0 | 0 | 0 | 0 |
| 638 | 0 | 0 | 0 | 0 |
| 706 | 0 | 0 | 0 | 0 |
| 804 | 0 | 0 | 0 | 0 |
| 848 | 0 | 0 | 0 | 0 |
| 851 | 0 | 0 | 0 | 0 |
| 874 | 0 | 0 | 0 | 0 |
| 886 | 0 | 0 | 0 | 0 |
| 972 | 0 | 0 | 0 | 0 |
| 1087 | 0 | 0 | 0 | 0 |


### http://theweathernetwork.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 133 | 0 | 0 | 11 | 11 |
| 224 | 0 | 0 | 11 | 22 |
| 254 | 1 | 1 | 7 | 29 |
| 322 | 0 | 1 | 8 | 37 |
| 344 | 0 | 1 | 8 | 45 |
| 347 | 0 | 1 | 13 | 58 |
| 392 | 0 | 1 | 7 | 65 |
| 511 | 0 | 1 | 12 | 77 |
| 538 | 0 | 1 | 13 | 90 |
| 639 | 0 | 1 | 8 | 98 |
| 648 | 1 | 2 | 13 | 111 |
| 705 | 1 | 3 | 12 | 123 |
| 713 | 0 | 3 | 10 | 133 |
| 805 | 0 | 3 | 7 | 140 |
| 914 | 0 | 3 | 8 | 148 |
| 1006 | 0 | 3 | 6 | 154 |
| 1064 | 0 | 3 | 7 | 161 |
| 1082 | 0 | 3 | 4 | 165 |


### http://weather.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 11 | 0 | 0 | 0 | 0 |
| 19 | 0 | 0 | 0 | 0 |
| 61 | 0 | 0 | 0 | 0 |
| 90 | 0 | 0 | 0 | 0 |
| 158 | 0 | 0 | 0 | 0 |
| 205 | 0 | 0 | 0 | 0 |
| 210 | 0 | 0 | 0 | 0 |
| 286 | 1 | 1 | 14 | 14 |
| 321 | 0 | 1 | 15 | 29 |
| 324 | 1 | 2 | 16 | 45 |
| 377 | 0 | 2 | 17 | 62 |
| 409 | 0 | 2 | 15 | 77 |
| 411 | 1 | 3 | 16 | 93 |
| 418 | 1 | 4 | 15 | 108 |
| 474 | 1 | 5 | 18 | 126 |
| 565 | 0 | 5 | 13 | 139 |
| 690 | 0 | 5 | 17 | 156 |
| 727 | 1 | 6 | 19 | 175 |
| 767 | 1 | 7 | 18 | 193 |
| 822 | 0 | 7 | 16 | 209 |
| 833 | 1 | 8 | 19 | 228 |
| 843 | 0 | 8 | 17 | 245 |
| 844 | 0 | 8 | 18 | 263 |
| 872 | 0 | 8 | 16 | 279 |
| 892 | 0 | 8 | 17 | 296 |
| 893 | 0 | 8 | 18 | 314 |
| 900 | 0 | 8 | 17 | 331 |
| 989 | 1 | 9 | 19 | 350 |
| 1053 | 0 | 9 | 18 | 368 |
| 1067 | 0 | 9 | 16 | 384 |
| 1092 | 0 | 9 | 19 | 403 |


### http://weather2umbrella.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 21 | 0 | 0 | 0 | 0 |
| 46 | 0 | 0 | 0 | 0 |
| 50 | 0 | 0 | 0 | 0 |
| 132 | 0 | 0 | 0 | 0 |
| 143 | 0 | 0 | 0 | 0 |
| 207 | 0 | 0 | 0 | 0 |
| 237 | 0 | 0 | 0 | 0 |
| 238 | 0 | 0 | 0 | 0 |
| 323 | 0 | 0 | 0 | 0 |
| 370 | 0 | 0 | 0 | 0 |
| 393 | 0 | 0 | 0 | 0 |
| 466 | 0 | 0 | 0 | 0 |
| 536 | 0 | 0 | 0 | 0 |
| 537 | 0 | 0 | 0 | 0 |
| 553 | 0 | 0 | 0 | 0 |
| 559 | 0 | 0 | 0 | 0 |
| 577 | 0 | 0 | 0 | 0 |
| 600 | 0 | 0 | 0 | 0 |
| 601 | 0 | 0 | 0 | 0 |
| 619 | 0 | 0 | 0 | 0 |
| 714 | 0 | 0 | 0 | 0 |
| 715 | 0 | 0 | 0 | 0 |
| 754 | 0 | 0 | 0 | 0 |
| 875 | 0 | 0 | 0 | 0 |
| 918 | 0 | 0 | 0 | 0 |
| 953 | 0 | 0 | 0 | 0 |
| 1009 | 0 | 0 | 0 | 0 |
| 1023 | 0 | 0 | 0 | 0 |
| 1045 | 0 | 0 | 0 | 0 |
| 1097 | 0 | 0 | 0 | 0 |
| 1103 | 0 | 0 | 0 | 0 |


### http://weatherbase.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 74 | 0 | 0 | 12 | 12 |
| 121 | 0 | 0 | 6 | 18 |
| 156 | 0 | 0 | 0 | 18 |
| 247 | 0 | 0 | 1 | 19 |
| 294 | 0 | 0 | 4 | 23 |
| 351 | 0 | 0 | 0 | 23 |
| 421 | 0 | 0 | 1 | 24 |
| 441 | 0 | 0 | 1 | 25 |
| 483 | 0 | 0 | 0 | 25 |
| 576 | 0 | 0 | 1 | 26 |
| 620 | 0 | 0 | 3 | 29 |
| 640 | 0 | 0 | 1 | 30 |
| 647 | 0 | 0 | 8 | 38 |
| 685 | 0 | 0 | 0 | 38 |
| 689 | 0 | 0 | 2 | 40 |
| 755 | 0 | 0 | 6 | 46 |
| 756 | 1 | 1 | 3 | 49 |
| 815 | 0 | 1 | 0 | 49 |
| 845 | 0 | 1 | 8 | 57 |
| 884 | 1 | 2 | 8 | 65 |
| 977 | 0 | 2 | 1 | 66 |
| 1013 | 0 | 2 | 6 | 72 |
| 1022 | 0 | 2 | 8 | 80 |
| 1026 | 0 | 2 | 7 | 87 |
| 1055 | 0 | 2 | 0 | 87 |
| 1093 | 0 | 2 | 2 | 89 |


### Aggregated Control Site Data

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 11 | 0 | 0 | 0 | 0 |
| 19 | 0 | 0 | 0 | 0 |
| 20 | 0 | 0 | 0 | 0 |
| 21 | 0 | 0 | 0 | 0 |
| 46 | 0 | 0 | 0 | 0 |
| 50 | 0 | 0 | 0 | 0 |
| 61 | 0 | 0 | 0 | 0 |
| 74 | 0 | 0 | 12 | 12 |
| 90 | 0 | 0 | 0 | 12 |
| 92 | 0 | 0 | 0 | 12 |
| 100 | 0 | 0 | 0 | 12 |
| 121 | 0 | 0 | 6 | 18 |
| 132 | 0 | 0 | 0 | 18 |
| 133 | 0 | 0 | 11 | 29 |
| 143 | 0 | 0 | 0 | 29 |
| 147 | 0 | 0 | 0 | 29 |
| 156 | 0 | 0 | 0 | 29 |
| 158 | 0 | 0 | 0 | 29 |
| 182 | 0 | 0 | 0 | 29 |
| 205 | 0 | 0 | 0 | 29 |
| 207 | 0 | 0 | 0 | 29 |
| 210 | 0 | 0 | 0 | 29 |
| 224 | 0 | 0 | 11 | 40 |
| 229 | 0 | 0 | 0 | 40 |
| 237 | 0 | 0 | 0 | 40 |
| 238 | 0 | 0 | 0 | 40 |
| 247 | 0 | 0 | 1 | 41 |
| 249 | 0 | 0 | 0 | 41 |
| 254 | 1 | 1 | 7 | 48 |
| 260 | 0 | 1 | 0 | 48 |
| 266 | 0 | 1 | 0 | 48 |
| 286 | 1 | 2 | 14 | 62 |
| 294 | 0 | 2 | 4 | 66 |
| 313 | 0 | 2 | 0 | 66 |
| 321 | 0 | 2 | 15 | 81 |
| 322 | 0 | 2 | 8 | 89 |
| 323 | 0 | 2 | 0 | 89 |
| 324 | 1 | 3 | 16 | 105 |
| 344 | 0 | 3 | 8 | 113 |
| 347 | 0 | 3 | 13 | 126 |
| 351 | 0 | 3 | 0 | 126 |
| 352 | 0 | 3 | 0 | 126 |
