### http://myforecast.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 2 | 0 | 0 | 0 | 0 |
| 53 | 0 | 0 | 0 | 0 |
| 144 | 0 | 0 | 0 | 0 |
| 145 | 0 | 0 | 0 | 0 |
| 169 | 0 | 0 | 0 | 0 |
| 201 | 0 | 0 | 0 | 0 |
| 250 | 0 | 0 | 0 | 0 |
| 280 | 0 | 0 | 0 | 0 |
| 314 | 0 | 0 | 0 | 0 |
| 339 | 0 | 0 | 0 | 0 |
| 342 | 0 | 0 | 0 | 0 |
| 361 | 0 | 0 | 0 | 0 |
| 368 | 0 | 0 | 0 | 0 |
| 372 | 0 | 0 | 0 | 0 |
| 390 | 0 | 0 | 0 | 0 |
| 480 | 0 | 0 | 0 | 0 |
| 540 | 0 | 0 | 0 | 0 |
| 544 | 0 | 0 | 0 | 0 |
| 564 | 0 | 0 | 0 | 0 |
| 593 | 0 | 0 | 0 | 0 |
| 641 | 0 | 0 | 0 | 0 |
| 900 | 0 | 0 | 0 | 0 |
| 901 | 0 | 0 | 0 | 0 |
| 935 | 0 | 0 | 0 | 0 |
| 936 | 0 | 0 | 0 | 0 |
| 944 | 0 | 0 | 0 | 0 |
| 1027 | 0 | 0 | 0 | 0 |
| 1037 | 0 | 0 | 0 | 0 |


### http://theweathernetwork.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 57 | 0 | 0 | 12 | 12 |
| 132 | 0 | 0 | 7 | 19 |
| 202 | 0 | 0 | 10 | 29 |
| 211 | 0 | 0 | 12 | 41 |
| 215 | 1 | 1 | 7 | 48 |
| 230 | 0 | 1 | 6 | 54 |
| 231 | 0 | 1 | 8 | 62 |
| 304 | 0 | 1 | 6 | 68 |
| 312 | 1 | 2 | 10 | 78 |
| 329 | 0 | 2 | 8 | 86 |
| 418 | 1 | 3 | 13 | 99 |
| 460 | 0 | 3 | 13 | 112 |
| 519 | 1 | 4 | 11 | 123 |
| 555 | 0 | 4 | 10 | 133 |
| 556 | 0 | 4 | 10 | 143 |
| 843 | 0 | 4 | 13 | 156 |
| 868 | 0 | 4 | 9 | 165 |
| 895 | 0 | 4 | 8 | 173 |
| 933 | 0 | 4 | 10 | 183 |
| 1062 | 0 | 4 | 7 | 190 |
| 1064 | 0 | 4 | 10 | 200 |


### http://weather.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 34 | 0 | 0 | 0 | 0 |
| 105 | 0 | 0 | 0 | 0 |
| 131 | 0 | 0 | 0 | 0 |
| 180 | 0 | 0 | 0 | 0 |
| 181 | 0 | 0 | 0 | 0 |
| 183 | 0 | 0 | 0 | 0 |
| 247 | 0 | 0 | 0 | 0 |
| 313 | 1 | 1 | 6 | 6 |
| 552 | 1 | 2 | 7 | 13 |
| 614 | 1 | 3 | 7 | 20 |
| 629 | 0 | 3 | 6 | 26 |
| 655 | 1 | 4 | 6 | 32 |
| 671 | 1 | 5 | 7 | 39 |
| 705 | 0 | 5 | 5 | 44 |
| 739 | 1 | 6 | 6 | 50 |
| 781 | 1 | 7 | 9 | 59 |
| 785 | 1 | 8 | 8 | 67 |
| 934 | 0 | 8 | 10 | 77 |
| 942 | 0 | 8 | 5 | 82 |
| 1066 | 0 | 8 | 9 | 91 |
| 1076 | 0 | 8 | 7 | 98 |
| 1102 | 0 | 8 | 6 | 104 |


### http://weather2umbrella.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 177 | 0 | 0 | 0 | 0 |
| 182 | 0 | 0 | 0 | 0 |
| 203 | 0 | 0 | 0 | 0 |
| 216 | 0 | 0 | 0 | 0 |
| 271 | 0 | 0 | 0 | 0 |
| 287 | 0 | 0 | 0 | 0 |
| 289 | 0 | 0 | 0 | 0 |
| 346 | 0 | 0 | 0 | 0 |
| 381 | 0 | 0 | 0 | 0 |
| 406 | 0 | 0 | 0 | 0 |
| 582 | 0 | 0 | 0 | 0 |
| 589 | 0 | 0 | 0 | 0 |
| 622 | 0 | 0 | 0 | 0 |
| 744 | 0 | 0 | 0 | 0 |
| 752 | 0 | 0 | 0 | 0 |
| 797 | 0 | 0 | 0 | 0 |
| 873 | 0 | 0 | 0 | 0 |
| 894 | 0 | 0 | 0 | 0 |
| 913 | 0 | 0 | 0 | 0 |
| 932 | 0 | 0 | 0 | 0 |
| 939 | 0 | 0 | 0 | 0 |
| 1028 | 0 | 0 | 0 | 0 |
| 1035 | 0 | 0 | 0 | 0 |


### http://weatherbase.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 9 | 0 | 0 | 8 | 8 |
| 18 | 0 | 0 | 1 | 9 |
| 28 | 0 | 0 | 0 | 9 |
| 65 | 0 | 0 | 1 | 10 |
| 79 | 0 | 0 | 1 | 11 |
| 120 | 0 | 0 | 1 | 12 |
| 214 | 0 | 0 | 8 | 20 |
| 238 | 0 | 0 | 1 | 21 |
| 360 | 0 | 0 | 0 | 21 |
| 375 | 0 | 0 | 4 | 25 |
| 403 | 0 | 0 | 6 | 31 |
| 448 | 0 | 0 | 1 | 32 |
| 463 | 0 | 0 | 0 | 32 |
| 486 | 0 | 0 | 1 | 33 |
| 534 | 0 | 0 | 2 | 35 |
| 565 | 0 | 0 | 5 | 40 |
| 660 | 0 | 0 | 10 | 50 |
| 927 | 0 | 0 | 3 | 53 |
| 945 | 0 | 0 | 6 | 59 |
| 1063 | 0 | 0 | 2 | 61 |


### Aggregated Control Site Data

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 2 | 0 | 0 | 0 | 0 |
| 9 | 0 | 0 | 8 | 8 |
| 18 | 0 | 0 | 1 | 9 |
| 28 | 0 | 0 | 0 | 9 |
| 34 | 0 | 0 | 0 | 9 |
| 53 | 0 | 0 | 0 | 9 |
| 57 | 0 | 0 | 12 | 21 |
| 65 | 0 | 0 | 1 | 22 |
| 79 | 0 | 0 | 1 | 23 |
| 105 | 0 | 0 | 0 | 23 |
| 120 | 0 | 0 | 1 | 24 |
| 131 | 0 | 0 | 0 | 24 |
| 132 | 0 | 0 | 7 | 31 |
| 144 | 0 | 0 | 0 | 31 |
| 145 | 0 | 0 | 0 | 31 |
| 169 | 0 | 0 | 0 | 31 |
| 177 | 0 | 0 | 0 | 31 |
| 180 | 0 | 0 | 0 | 31 |
| 181 | 0 | 0 | 0 | 31 |
| 182 | 0 | 0 | 0 | 31 |
| 183 | 0 | 0 | 0 | 31 |
| 201 | 0 | 0 | 0 | 31 |
| 202 | 0 | 0 | 10 | 41 |
| 203 | 0 | 0 | 0 | 41 |
| 211 | 0 | 0 | 12 | 53 |
| 214 | 0 | 0 | 8 | 61 |
| 215 | 1 | 1 | 7 | 68 |
| 216 | 0 | 1 | 0 | 68 |
| 230 | 0 | 1 | 6 | 74 |
| 231 | 0 | 1 | 8 | 82 |
| 238 | 0 | 1 | 1 | 83 |
| 247 | 0 | 1 | 0 | 83 |
| 250 | 0 | 1 | 0 | 83 |
| 271 | 0 | 1 | 0 | 83 |
